Arizona,"302,455,379","313,618,734 323,894,348","320,550,614",--,,3.7 3.3 -1.0 --
Apache,"2,356,511","2,386,806 2,128,397","2,157,467",10,,1.3 -10.8 1.4 4
Cochise,"4,205,704","4,187,426 4,280,992","4,501,616",8,,-0.4 2.2 5.2 1
Coconino,"7,149,723","7,089,777 6,829,438","6,321,341",6,,-0.8 -3.7 -7.4 15
Gila,"1,690,890","1,705,180 1,687,658","1,684,553",12,,0.8 -1.0 -0.2 8
Graham,"870,164","899,154 947,920","982,532",14,,3.3 5.4 3.7 2
Greenlee,"1,638,845","1,555,996 1,576,320","1,499,870",13,,-5.1 1.3 -4.8 14
La Paz,"669,175","661,271 682,877","688,842",15,,-1.2 3.3 0.9 5
Maricopa,"214,120,001","223,590,591 233,321,462","231,963,078",1,,4.4 4.4 -0.6 9
Mohave,"4,816,906","4,900,496 5,074,156","5,113,573",7,,1.7 3.5 0.8 6
Navajo,"2,758,995","2,859,345 2,642,699","2,537,793",9,,3.6 -7.6 -4.0 12
Pima,"38,533,954","39,534,741 40,179,930","38,478,791",2,,2.6 1.6 -4.2 13
Pinal,"7,965,575","8,368,354 8,585,413","8,752,073",3,,5.1 2.6 1.9 3
Santa Cruz,"1,746,694","1,792,086 1,767,253","1,734,246",11,,2.6 -1.4 -1.9 11
Yavapai,"6,606,836","6,657,557 6,692,200","6,617,293",5,,0.8 0.5 -1.1 10
Yuma,"7,258,853","7,331,342 7,384,506","7,422,021",4,,1.0 0.7 0.5 7
Arkansas,"113,885,171","115,937,586 116,790,945","114,943,471",--,,1.8 0.7 -1.6 --
Arkansas,"943,684","971,183 966,397","988,706",22,,2.9 -0.5 2.3 9
Ashley,"693,283","680,615 677,007","610,346",33,,-1.8 -0.5 -9.8 71
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Baxter,"1,268,312","1,285,220 1,278,578","1,239,729",18,,1.3 -0.5 -3.0 46
Benton,"13,147,706","13,639,837 14,096,756","14,467,239",2,,3.7 3.3 2.6 8
Boone,"1,170,359","1,176,932 1,170,571","1,158,133",21,,0.6 -0.5 -1.1 26
Bradley,"294,601","313,707 298,606","284,345",55,,6.5 -4.8 -4.8 54
Calhoun,"330,193","320,358 310,815","307,483",53,,-3.0 -3.0 -1.1 27
Carroll,"775,461","783,382 790,413","773,575",25,,1.0 0.9 -2.1 38
Chicot,"251,713","247,654 242,945","249,801",57,,-1.6 -1.9 2.8 7
Clark,"703,202","727,789 714,943","680,628",29,,3.5 -1.8 -4.8 55
Clay,"336,667","315,184 298,149","303,924",54,,-6.4 -5.4 1.9 12
Cleburne,"727,170","698,553 715,489","689,702",28,,-3.9 2.4 -3.6 50
Cleveland,"134,232","153,491 118,887","96,315",74,14.3,-22.5 -19.0 74
Columbia,"835,073","859,980 833,191","770,150",26,,3.0 -3.1 -7.6 65
Conway,"779,821","769,677 749,372","732,630",27,,-1.3 -2.6 -2.2 40
Craighead,"4,049,587","4,182,226 4,334,486","4,256,903",5,,3.3 3.6 -1.8 34
Crawford,"1,510,848","1,526,442 1,547,475","1,528,616",15,,1.0 1.4 -1.2 30
Crittenden,"1,628,023","1,638,514 1,679,445","1,598,537",14,,0.6 2.5 -4.8 56
Cross,"426,274","394,483 397,141","422,368",47,,-7.5 0.7 6.4 5
Dallas,"201,422","197,398 190,580","185,424",67,,-2.0 -3.5 -2.7 44
Desha,"509,685","500,131 511,387","520,191",38,,-1.9 2.3 1.7 15
Drew,"577,832","574,922 559,291","521,108",37,,-0.5 -2.7 -6.8 63
Faulkner,"3,492,999","3,581,062 3,561,759","3,423,095",6,,2.5 -0.5 -3.9 51
Franklin,"404,267","414,704 412,443","421,930",48,,2.6 -0.5 2.3 10
Fulton,"154,811","163,469 163,622","162,030",68,,5.6 0.1 -1.0 25
Garland,"2,992,677","3,051,463 3,054,365","2,957,264",7,,2.0 0.1 -3.2 49
Grant,"367,488","368,134 385,744","382,945",51,,0.2 4.8 -0.7 22
Greene,"1,282,760","1,318,104 1,329,611","1,314,094",17,,2.8 0.9 -1.2 29
Hempstead,"904,786","883,716 861,068","842,144",24,,-2.3 -2.6 -2.2 39
Hot Spring,"938,136","930,648 873,798","856,444",23,,-0.8 -6.1 -2.0 35
Howard,"590,771","608,701 538,514","508,829",39,,3.0 -11.5 -5.5 58
Independence,"1,649,637","1,760,694 1,634,129","1,487,088",16,,6.7 -7.2 -9.0 68
Izard,"267,748","273,891 258,246","232,164",59,,2.3 -5.7 -10.1 72
Jackson,"627,491","664,339 640,155","662,759",30,,5.9 -3.6 3.5 6
Jefferson,"2,830,649","2,745,288 2,749,951","2,680,639",8,,-3.0 0.2 -2.5 41
Johnson,"661,360","675,288 655,736","636,808",32,,2.1 -2.9 -2.9 45
Lafayette,"151,642","146,635 126,838","129,237",72,,-3.3 -13.5 1.9 14
Lawrence,"418,270","413,547 394,968","423,315",46,,-1.1 -4.5 7.2 3
Lee,"158,066","146,574 162,592","144,788",70,,-7.3 10.9 -11.0 73
Lincoln,"231,026","233,168 220,915","207,687",62,,0.9 -5.3 -6.0 61
Little River,"446,140","431,025 438,064","433,041",45,,-3.4 1.6 -1.1 28
Logan,"492,421","511,681 438,825","421,432",49,,3.9 -14.2 -4.0 52
Lonoke,"1,210,259","1,212,353 1,193,391","1,182,122",19,,0.2 -1.6 -0.9 24
Madison,"372,870","384,158 342,893","350,421",52,,3.0 -10.7 2.2 11
Marion,"507,444","453,045 545,770","440,581",44,-10.7,20.5 -19.3 75
Miller,"1,212,595","1,210,444 1,233,604","1,160,106",20,,-0.2 1.9 -6.0 60
Mississippi,"2,204,137","2,434,838 2,570,710","2,619,912",9,10.5,5.6 1.9 13
Monroe,"168,626","162,850 175,131","186,748",66,,-3.4 7.5 6.6 4
Montgomery,"131,726","134,103 125,093","122,589",73,,1.8 -6.7 -2.0 36
Nevada,"243,224","247,658 223,053","206,410",63,,1.8 -9.9 -7.5 64
Newton,"112,025","90,560 91,962","89,111",75,-19.2,1.5 -3.1 48
Ouachita,"566,632","575,625 559,672","530,849",35,,1.6 -2.8 -5.1 57
Perry,"144,298","145,683 136,283","129,926",71,,1.0 -6.5 -4.7 53
Phillips,"460,491","447,430 473,931","471,974",41,,-2.8 5.9 -0.4 20
Pike,"229,929","233,587 211,886","208,413",61,,1.6 -9.3 -1.6 31
Poinsett,"555,790","535,584 538,448","540,713",34,,-3.6 0.5 0.4 18
Polk,"487,614","509,929 489,078","458,968",42,,4.6 -4.1 -6.2 62
Pope,"2,600,751","2,585,841 2,600,390","2,595,596",10,,-0.6 0.6 -0.2 19
Prairie,"202,896","185,538 164,926","204,171",64,,-8.6 -11.1 23.8 1
Pulaski,"25,602,515","25,901,785 26,399,358","25,848,697",1,,1.2 1.9 -2.1 37
Randolph,"422,728","439,618 437,346","443,387",43,,4.0 -0.5 1.4 16
St. Francis,"652,884","642,713 651,201","655,629",31,,-1.6 1.3 0.7 17
Saline,"2,226,596","2,354,762 2,275,529","2,216,370",12,,5.8 -3.4 -2.6 43
Scott,"266,266","284,074 255,301","231,085",60,,6.7 -10.1 -9.5 70
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019 2020,,2020,2018,2019 2020 2020
Searcy,"154,647","149,873 156,642 151,794",,69,,-3.1 4.5 -3.1 47
Sebastian,"5,867,673","6,056,680 6,099,593 5,993,166",,4,,3.2 0.7 -1.7 32
Sevier,"473,646","493,638 450,128 411,423",,50,,4.2 -8.8 -8.6 67
Sharp,"337,941","347,174 304,247 275,584",,56,,2.7 -12.4 -9.4 69
Stone,"235,635","227,224 215,539 198,469",,65,,-3.6 -5.1 -7.9 66
Union,"2,333,636","2,340,456 2,444,503 2,381,739",,11,,0.3 4.4 -2.6 42
Van Buren,"535,543","492,984 480,600 476,650",,40,,-7.9 -2.5 -0.8 23
Washington,"9,995,100","10,277,344 10,459,272 10,414,772",,3,,2.8 1.8 -0.4 21
White,"2,068,293","2,115,786 2,134,793 2,097,404",,13,,2.3 0.9 -1.8 33
Woodruff,"229,225","229,597 212,755 247,355",,58,,0.2 -7.3 16.3 2
Yell,"548,054","580,435 555,952 524,461",,36,,5.9 -4.2 -5.7 59
California,"2,541,769,255","2,643,576,256 2,739,343,439 2,663,665,940",,--,,4.0 3.6 -2.8 --
Alameda,"119,117,078","123,718,310 126,183,638 121,709,013",,7,,3.9 2.0 -3.5 40
Alpine,"99,643","100,131 104,501 94,421",,57,,0.5 4.4 -9.6 57
Amador,"1,570,431","1,585,410 1,625,096 1,571,455",,45,,1.0 2.5 -3.3 37
Butte,"8,434,322","8,543,593 8,701,260 8,130,900",,30,,1.3 1.8 -6.6 50
Calaveras,"1,292,735","1,238,320 1,412,753 1,312,022",,47,,-4.2 14.1 -7.1 52
Colusa,"1,199,687","1,408,034 1,244,078 1,475,738",,46,17.4,-11.6 18.6 1
Contra Costa,"71,878,033","76,615,513 79,295,699 76,705,181",,11,,6.6 3.5 -3.3 36
Del Norte,"688,089","709,056 704,591 791,153",,53,,3.0 -0.6 12.3 3
El Dorado,"7,238,157","7,471,362 7,435,270 6,926,104",,32,,3.2 -0.5 -6.8 51
Fresno,"39,921,581","41,016,044 42,111,573 41,216,318",,14,,2.7 2.7 -2.1 26
Glenn,"982,720","1,103,979 1,124,597 1,305,510",,48,12.3,1.9 16.1 2
Humboldt,"4,986,467","5,053,603 5,185,967 4,974,904",,35,,1.3 2.6 -4.1 44
Imperial,"8,155,429","8,102,824 8,471,316 8,273,072",,29,,-0.6 4.5 -2.3 28
Inyo,"1,224,445","1,175,310 1,214,209 1,182,230",,49,,-4.0 3.3 -2.6 30
Kern,"46,781,960","47,738,604 49,221,208 48,674,498",,12,,2.0 3.1 -1.1 21
Kings,"5,924,008","5,882,811 6,054,971 6,266,094",,33,,-0.7 2.9 3.5 7
Lake,"1,768,943","1,850,962 1,875,971 1,883,809",,43,,4.6 1.4 0.4 13
Lassen,"1,071,059","1,077,095 1,071,584 1,083,379",,50,,0.6 -0.5 1.1 11
Los Angeles,"662,418,536","681,549,961 703,781,312 659,328,437",,1,,2.9 3.3 -6.3 49
Madera,"6,012,170","5,988,270 6,194,111 6,240,917",,34,,-0.4 3.4 0.8 12
Marin,"22,815,861","25,037,176 27,175,273 26,875,951",,16,,9.7 8.5 -1.1 20
Mariposa,"664,863","764,080 775,501 705,107",,54,14.9,1.5 -9.1 55
Mendocino,"3,261,212","3,290,676 3,295,575 3,186,549",,38,,0.9 0.1 -3.3 38
Merced,"9,012,107","8,994,225 9,119,281 9,099,866",,28,,-0.2 1.4 -0.2 15
Modoc,"357,793","373,250 414,965 437,915",,55,,4.3 11.2 5.5 4
Mono,"1,027,563","957,625 1,016,599 922,078",,51,,-6.8 6.2 -9.3 56
Monterey,"25,122,789","25,923,751 26,819,709 25,387,255",,19,,3.2 3.5 -5.3 48
Napa,"9,870,652","9,898,897 9,997,969 9,482,760",,27,,0.3 1.0 -5.2 47
Nevada,"3,940,019","3,896,864 3,982,808 3,803,890",,36,,-1.1 2.2 -4.5 46
Orange,"220,075,102","226,110,295 231,036,264 220,845,026",,3,,2.7 2.2 -4.4 45
Placer,"19,894,372","20,911,650 21,472,690 20,860,227",,22,,5.1 2.7 -2.9 33
Plumas,"1,006,000","940,398 1,042,571 910,031",,52,,-6.5 10.9 -12.7 58
Riverside,"75,327,830","78,156,440 80,690,542 78,285,711",,10,,3.8 3.2 -3.0 35
Sacramento,"77,961,074","80,936,234 83,951,132 81,577,179",,9,,3.8 3.7 -2.8 32
San Benito,"2,075,377","2,115,616 2,280,142 2,199,197",,40,,1.9 7.8 -3.5 41
San Bernardino,"78,146,465","80,460,743 83,759,253 82,202,264",,8,,3.0 4.1 -1.9 24
San Diego,"203,932,550","209,426,148 214,035,153 207,747,927",,4,,2.7 2.2 -2.9 34
San Francisco,"155,258,114","166,716,731 176,392,838 175,001,370",,5,,7.4 5.8 -0.8 17
San Joaquin,"26,787,016","27,808,462 28,686,598 28,417,585",,15,,3.8 3.2 -0.9 18
San Luis Obispo,"15,449,070","15,808,438 15,901,604 15,536,252",,24,,2.3 0.6 -2.3 27
San Mateo,"113,829,269","119,797,765 125,850,236 124,434,270",,6,,5.2 5.1 -1.1 22
Santa Barbara,"25,885,092","26,938,329 27,183,782 26,623,985",,17,,4.1 0.9 -2.1 25
Santa Clara,"282,946,368","306,691,667 325,665,794 340,009,883",,2,,8.4 6.2 4.4 5
Santa Cruz,"12,786,326","13,243,490 14,124,562 13,591,297",,25,,3.6 6.7 -3.8 42
Shasta,"7,437,919","7,219,547 7,608,827 7,341,817",,31,,-2.9 5.4 -3.5 39
Sierra,"82,019","84,198 87,671 80,670",,58,,2.7 4.1 -8.0 53
Siskiyou,"1,546,848","1,563,467 1,579,641 1,641,363",,44,,1.1 1.0 3.9 6
Solano,"20,899,701","21,944,195 24,048,606 24,020,822",,20,,5.0 9.6 -0.1 14
Sonoma,"26,325,465","27,565,642 27,657,268 26,611,361",,18,,4.7 0.3 -3.8 43
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Stanislaus,"20,632,799","21,234,213 21,658,223","21,439,045",21,,2.9 2.0 -1.0 19
Sutter,"3,095,179","3,307,355 3,282,757","3,357,591",37,,6.9 -0.7 2.3 9
Tehama,"1,882,273","1,885,606 1,980,076","2,011,859",42,,0.2 5.0 1.6 10
Trinity,"371,527","359,579 357,454","368,912",56,,-3.2 -0.6 3.2 8
Tulare,"16,847,054","17,063,694 17,762,269","17,662,200",23,,1.3 4.1 -0.6 16
Tuolumne,"2,455,844","2,284,494 2,404,999","2,193,724",41,,-7.0 5.3 -8.8 54
Ventura,"46,470,387","46,592,945 47,846,529","46,597,738",13,,0.3 2.7 -2.6 29
Yolo,"13,013,233","13,472,232 13,964,754","13,587,572",26,,3.5 3.7 -2.7 31
Yuba,"2,948,046","2,980,485 3,087,444","3,045,748",39,,1.1 3.6 -1.4 23
Colorado,"329,960,619","342,535,898 356,773,592","346,011,260",--,,3.8 4.2 -3.0 --
Adams,"23,784,769","24,745,551 25,858,619","25,451,180",6,,4.0 4.5 -1.6 34
Alamosa,"613,032","638,684 641,874","664,882",32,,4.2 0.5 3.6 13
Arapahoe,"42,024,419","43,909,234 44,278,392","43,489,732",2,,4.5 0.8 -1.8 35
Archuleta,"493,487","504,138 510,854","494,375",38,,2.2 1.3 -3.2 43
Baca,"164,357","129,189 128,539","173,764",53,-21.4,-0.5 35.2 2
Bent,"135,923","135,559 131,212","143,196",55,,-0.3 -3.2 9.1 9
Boulder,"25,104,630","25,865,152 27,502,894","26,619,597",5,,3.0 6.3 -3.2 42
Broomfield,"6,924,833","6,562,146 6,937,897","6,895,273",10,,-5.2 5.7 -0.6 29
Chaffee,"679,485","712,666 743,484","736,035",30,,4.9 4.3 -1.0 31
Cheyenne,"184,802","176,810 186,510","215,685",49,,-4.3 5.5 15.6 6
Clear Creek,"523,011","464,803 536,445","500,481",37,-11.1,15.4 -6.7 56
Conejos,"194,892","204,469 198,454","204,012",51,,4.9 -2.9 2.8 16
Costilla,"79,072","80,947 81,632","88,681",60,,2.4 0.8 8.6 10
Crowley,"123,247","135,223 125,619","123,783",57,,9.7 -7.1 -1.5 33
Custer,"108,211","110,677 120,477","124,417",56,,2.3 8.9 3.3 14
Delta,"723,286","784,802 806,409","818,405",28,,8.5 2.8 1.5 19
Denver,"66,026,526","69,239,514 74,702,568","71,810,805",1,,4.9 7.9 -3.9 46
Dolores,"202,223","156,648 152,722","157,346",54,-22.5,-2.5 3.0 15
Douglas,"16,510,310","17,842,000 17,821,178","17,347,206",9,,8.1 -0.1 -2.7 37
Eagle,"3,560,570","3,602,348 3,703,041","3,446,182",14,,1.2 2.8 -6.9 57
Elbert,"508,148","583,632 651,598","652,812",33,14.9,11.6 0.2 23
El Paso,"31,036,447","32,154,123 33,127,327","33,110,622",3,,3.6 3.0 -0.1 27
Fremont,"1,239,623","1,269,710 1,271,820","1,273,467",22,,2.4 0.2 0.1 25
Garfield,"4,544,978","4,328,140 4,427,385","4,218,575",13,,-4.8 2.3 -4.7 49
Gilpin,"593,978","546,571 540,277","475,129",39,,-8.0 -1.2 -12.1 62
Grand,"859,167","848,318 876,168","850,839",27,,-1.3 3.3 -2.9 40
Gunnison,"1,028,011","1,049,017 1,021,921","941,543",25,,2.0 -2.6 -7.9 58
Hinsdale,"34,348","35,131 34,036","31,882",64,,2.3 -3.1 -6.3 53
Huerfano,"267,798","258,738 260,530","284,855",45,,-3.4 0.7 9.3 8
Jackson,"111,101","127,312 140,351","122,942",58,14.6,10.2 -12.4 63
Jefferson,"27,962,649","28,935,488 30,113,572","29,075,319",4,,3.5 4.1 -3.4 44
Kiowa,"54,097","54,467 76,882","92,444",59,,0.7 41.2 20.2 4
Kit Carson,"321,257","282,013 364,462","404,348",44,-12.2,29.2 10.9 7
Lake,"258,317","264,924 299,173","279,119",46,,2.6 12.9 -6.7 55
La Plata,"3,531,171","3,403,255 3,337,450","3,133,046",15,,-3.6 -1.9 -6.1 52
Larimer,"17,046,840","17,863,652 18,815,195","18,624,980",8,,4.8 5.3 -1.0 32
Las Animas,"712,595","686,472 674,763","687,058",31,,-3.7 -1.7 1.8 17
Lincoln,"357,561","346,758 349,399","407,597",43,,-3.0 0.8 16.7 5
Logan,"1,033,788","995,087 988,146","993,645",23,,-3.7 -0.7 0.6 22
Mesa,"5,724,372","5,967,075 6,039,762","5,849,815",11,,4.2 1.2 -3.1 41
Mineral,"49,724","52,987 53,697","47,817",63,,6.6 1.3 -10.9 60
Moffat,"1,026,884","952,534 993,518","988,747",24,,-7.2 4.3 -0.5 28
Montezuma,"2,323,033","1,910,458 1,990,268","1,698,561",19,-17.8,4.2 -14.7 64
